,green,orange,yellow,blue,purple,red
surprised,0.94,0.43999999999999995,0.76,1.0,0.9,0.96
excited,0.88,0.74,0.5800000000000001,1.0,0.88,0.92
serene,0.8,1.0,0.8200000000000001,0.52,0.86,1.0
happy,0.88,0.86,0.36,0.96,0.96,0.98
satisfied,0.6,0.86,0.86,0.84,0.84,1.0
calm,0.86,0.98,0.86,0.33999999999999997,0.96,1.0
tired,0.92,0.88,0.94,0.42000000000000004,0.86,0.98
bored,0.76,0.86,0.9,0.74,0.8,0.94
depressed,1.0,1.0,0.98,0.16000000000000003,0.86,1.0
sad,0.98,0.98,0.92,0.18000000000000005,0.94,1.0
frustrated,0.96,0.76,0.96,0.94,0.84,0.54
afraid,0.94,0.88,0.84,0.9,0.88,0.56
angry,1.0,0.96,1.0,1.0,0.98,0.06000000000000005
stressed,0.96,0.8,0.92,0.96,0.88,0.48
astonished,0.92,0.5,0.8200000000000001,0.98,0.9,0.88
sleepy,0.92,1.0,0.9,0.31999999999999995,0.86,1.0
alarmed,1.0,0.9,1.0,1.0,1.0,0.09999999999999998
disgusted,0.5800000000000001,0.94,0.9,0.96,0.9,0.72
