Unnamed: 0,green,orange,yellow,blue,purple,red
surprised,0.9069767441860466,0.6744186046511629,0.5813953488372092,1.0,0.9069767441860466,0.9302325581395349
excited,0.8372093023255814,0.7906976744186047,0.5348837209302326,0.9302325581395349,0.9534883720930233,0.9534883720930233
serene,0.7674418604651163,0.8604651162790697,0.6976744186046512,0.6744186046511629,1.0,1.0
happy,0.7674418604651163,0.6976744186046512,0.5813953488372092,1.0,1.0,0.9534883720930233
satisfied,0.6744186046511629,0.7441860465116279,0.7674418604651163,0.9302325581395349,0.9302325581395349,0.9534883720930233
calm,0.6976744186046512,0.9069767441860466,0.9302325581395349,0.5348837209302326,0.9534883720930233,0.9767441860465117
tired,0.9767441860465117,0.9302325581395349,0.9534883720930233,0.34883720930232553,0.7906976744186047,1.0
bored,0.9302325581395349,0.9534883720930233,0.8837209302325582,0.627906976744186,0.6046511627906976,1.0
depressed,0.9767441860465117,1.0,0.9767441860465117,0.4883720930232558,0.5581395348837209,1.0
sad,0.9534883720930233,1.0,1.0,0.2790697674418605,0.7674418604651163,1.0
frustrated,0.8604651162790697,0.8139534883720931,0.9767441860465117,0.8604651162790697,0.7209302325581396,0.7674418604651163
afraid,1.0,0.8837209302325582,0.9302325581395349,0.8604651162790697,0.6976744186046512,0.627906976744186
angry,1.0,1.0,1.0,1.0,0.9534883720930233,0.04651162790697683
stressed,0.9534883720930233,0.8604651162790697,0.9069767441860466,0.8604651162790697,0.6976744186046512,0.7209302325581396
astonished,0.9302325581395349,0.8604651162790697,0.39534883720930236,0.9767441860465117,0.9302325581395349,0.9069767441860466
sleepy,0.9767441860465117,0.9534883720930233,0.9302325581395349,0.37209302325581395,0.7674418604651163,1.0
alarmed,1.0,0.8139534883720931,0.9302325581395349,0.9767441860465117,0.9767441860465117,0.3023255813953488
disgusted,0.4651162790697675,0.9767441860465117,0.9534883720930233,0.9069767441860466,0.7209302325581396,0.9767441860465117
