,x,y
surprised,0.747718952948888,4.08666614084077
excited,2.52816543876484,3.4654592732251
serene,4.53669012744276,-1.43910471788581
happy,4.96627439491838,1.37940018502245
satisfied,4.72269673919287,0.133572757614611
calm,4.19358684352983,-2.13072960531932
tired,-0.437649497198479,-3.45901349524069
bored,-0.299026917224801,-3.4096585838172
depressed,-2.61852399542456,-2.65418108929345
sad,-2.52884064500793,-2.05969901154502
frustrated,-3.46584000963135,-0.667712264771805
afraid,-2.51191760967512,1.65389414302846
angry,-3.40145652122791,0.58451362458926
stressed,-3.5687066568961,-0.103026163798506
astonished,0.397083658610702,3.76540423732322
sleepy,1.46754037448108,-3.78114860746219
alarmed,-2.39182224364336,3.28539295077117
disgusted,-2.33597243395973,1.34997022671896
